72%,,0.4,0.8,10:52 UTC,11:52 AM,tia
64%,,N/A,N/A,10:52 UTC,11:52 AM,alg
65%,,N/A,N/A,10:53 UTC,11:53 AM,aae
63%,,N/A,N/A,10:53 UTC,11:53 AM,bja
55%,,N/A,N/A,10:53 UTC,11:53 AM,czl
61%,,N/A,N/A,10:53 UTC,11:53 AM,orn
63%,,N/A,N/A,10:53 UTC,11:53 AM,tmr
46%,,N/A,N/A,10:54 UTC,11:54 AM,cab
48%,,N/A,N/A,10:55 UTC,11:55 AM,lad
53%,,N/A,N/A,10:55 UTC,2:55 PM,lwn
79%,,N/A,N/A,10:55 UTC,2:55 PM,evn
85%,,N/A,N/A,10:55 UTC,11:55 AM,grz
93%,,N/A,N/A,10:55 UTC,11:55 AM,hoh
82%,,N/A,N/A,10:57 UTC,11:57 AM,inn
73%,,N/A,N/A,10:57 UTC,11:57 AM,klu
80%,,N/A,N/A,10:57 UTC,11:57 AM,lnz
78%,,N/A,N/A,10:57 UTC,11:57 AM,szg
85%,,0.4,1.1,10:58 UTC,11:58 AM,vie
85%,,0.4,0.0,10:59 UTC,2:59 PM,gyd
61%,,N/A,N/A,10:59 UTC,2:59 PM,gnj
77%,,0.4,0.0,10:59 UTC,1:59 PM,bah
67%,,N/A,N/A,10:59 UTC,1:59 PM,gme
71%,,N/A,N/A,11:00 UTC,2:00 PM,msq
76%,,N/A,N/A,11:01 UTC,12:01 PM,anr
63%,,0.4,1.0,11:01 UTC,12:01 PM,crl
81%,,0.4,2.1,11:01 UTC,12:01 PM,bru

80%,,N/A,N/A,11:04 UTC,12:04 PM,ost
53%,,N/A,N/A,11:04 UTC,12:04 PM,coo
55%,,N/A,N/A,11:04 UTC,12:04 PM,bnx
74%,,N/A,N/A,11:04 UTC,12:04 PM,omo
66%,,N/A,N/A,11:05 UTC,12:05 PM,sjj
50%,,N/A,N/A,11:05 UTC,12:05 PM,tzl
62%,,N/A,N/A,11:05 UTC,1:05 PM,gbe

57%,,N/A,N/A,11:07 UTC,1:07 PM,mub
70%,,N/A,N/A,11:08 UTC,1:08 PM,boj
70%,,N/A,N/A,11:08 UTC,1:08 PM,pdv
68%,,0.4,0.0,11:08 UTC,1:08 PM,sof
72%,,N/A,N/A,11:08 UTC,1:08 PM,var
42%,,N/A,N/A,11:08 UTC,1:08 PM,bjm
48%,,N/A,N/A,11:09 UTC,12:09 PM,dla
58%,,N/A,N/A,09:46 UTC,10:46 AM,ebu
